Title,Setting,Country,US State
The Empire Strikes Back,Space,NA,NA
9 to 5,"800 W 6th Street, Los Angeles, CA",United States,California
Stir Crazy,"Prison, Florence, Arizona",United States,Arizona
Airplane!,"Los Angeles, Chicago",United States,Illinois
Any Which Way You Can,,NA,NA
Private Benjamin,Belgum,NA,NA
Coal Miner's Daughter,"Butcher Hollow, Kentucky",United States,Kentucky
Smokey and the Bandit II,"Dallas, Texas",United States,Texas
The Blue Lagoon,Fiji,Fiji,NA
The Blues Brothers,Chicago,United States,Illinois
Ordinary People,"Lake Forest, Illinois",United States,Illinois
Popeye,Malta,Italy,NA
Urban Cowboy,"Pasadena, Texas",United States,Texas
The Shining,"333 E Wonderview Ave, Estes Park, CO 80517",United States,Colorado
Seems Like Old Times,Los Angeles,United States,California
Cheech & Chong's Next Movie,Hollywood,United States,California
Caddyshack,"Boca Raton, Florida",United States,Florida
Friday the 13th (1980),"Cunningham County, New Jersey",United States,New Jersey
Brubaker,Arkansas,United States,Arkansas
Little Darlings,"Atlanta, Georgia",United States,Georgia
Dressed to Kill,New York City,United States,New York
The Jazz Singer,New York City/Los Angeles,United States,California
Flash Gordon,Space,NA,NA
Lady and the Tramp (Re-issue) (1980),Missouri,United States,Missouri
The Elephant Man,London,United Kingdom,NA
Bronco Billy,"Boise, Idaho",United States,Idaho
Raging Bull,New York,United States,New York
Xanadu,Fantasy,NA,NA
American Gigolo,Los Angeles,United States,California
My Bodyguard,Chicago,United States,Illinois
The Fog,"Goleta, California",United States,California
Fame (1980),New York City,United States,New York
Tess,Thomas Hardy's Wessex,United Kingdom,NA
Altered States,"Harvard, MA",United States,Massachusets
Song of the South (Re-issue) (1980),Georgia,United States,Georgia
Cruising,New York City,United States,New York
The Octagon,,NA,NA
The Aristocats (Re-issue) (1980),Paris,France,NA
Honeysuckle Rose,"Dripping Springs, Texas",United States,Texas
Herbie Goes Bananas,Rio de Janeiro,Brazil,NA
Rough Cut,,NA,NA
The Final Countdown,Hawaii,United States,Hawaii
The Hunter,Los Angeles,United States,California
Hero at Large,New York City,United States,New York
The Long Riders,Monument Valley,United States,Utah
The Island (1980),Caribbean,Cuba,NA
Close Encounters of the Third Kind (Special Edition),"Devil's Tower, Wyoming",United States,Wyoming
First Family,Washington DC,United States,Maryland
Prom Night,"Toronto, Canada",Canada,NA
The Nude Bomb,"Salt Lake City, Utah",United States,Utah
"Oh, God! Book II",NA,NA,NA
The Competition,Chicago,United States,Illinois
Wholly Moses,Israel,Israel,NA
Mary Poppins (re-issue),London,United Kingdom,NA
Last Married Couple in America,Los Angeles,United States,California
Used Cars,Phoenix,United States,Arizona
The Mirror Crack'd,St. Mary Mead,United Kingdom,NA
The Last Flight of Noah's Ark,Pacific Ocean,NA,NA
The Fiendish Plot of Dr. Fu Manchu,London,United Kingdom,NA
Stardust Memories,New Jersey,United States,New Jersey
The Hollywood Knights,Beverly Hills,United States,California
Serial,Marin County,United States,California
Somewhere in Time,Chicago,United States,Illinois
Tribute,New York City,United States,New York
Saturn 3,Space,NA,NA
The Formula,Berlin,Germany,NA
Mad Max,Australia,Australia,NA
The Big Brawl,chicago,United States,Illinois
The Awakening,England,United Kingdom,NA
Fatso,NA,NA,NA
How to Become a Detective,NA,NA,NA
How to Beat the High Cost of Living,NA,NA,NA
Foxes,Los Angeles,United States,California
The Big Red One,Israel,Israel,NA
The Stunt Man,Los Angeles,United States,California
Where the Buffalo Roam,NA,NA,NA
The Gong Show Movie,Na,NA,NA
Motel Hell,"Culver City, CA",United States,California
Little Miss Marker,Na,NA,NA
"Oh, Heavenly Dog!",London,United Kingdom,NA
Divine Madness,"Pasadena, CA",United States,California
In God We Trust,Hollywood,United States,California
He Knows You're Alone,"Staten Island, NY",United States,New York
Coast to Coast,New York State,United States,New York
Willie & Phil,New York City,United States,New York
Melvin and Howard,Utah,United States,Utah
Roadie,Travelling,NA,NA
Gloria,South Bronx,United States,New York
Jaws 2 (1980 re-issue),"Long Island, NY",United States,New York
Kagemusha,Japan,Japan,NA
Resurrection,Texas,United States,Texas
Hide in Plain Sight,Buffalo NY,United States,New York
Guyana: Cult of the Damned,Mexico,Mexico,NA
When Time Ran Out,Pacific Ocean,NA,NA
Heaven's Gate,Wyoming,United States,Wyoming
Ffolkes,Pacific Ocean,NA,NA
Midnight Madness,Los Angeles,United States,California
Loving Couples,Acapulco,Mexico,NA
The Idolmaker,na,NA,NA
The Black Marble,Los Angeles,United States,California